,task_type,facet_product,facet_goal,facet_named,queries_num,access_area,access_common,access_item,evaluate_best,evaluate_correctn,evaluate_duplicat,evaluate_specific,evaluate_usefulne,find_common,find_known,find_specific,find_without,id_more,id_start,keep_link,learn_database,learn_domain,obtain_part,obtain_specific,obtain_whole,other,bknum_current,bksaved_current,pages_num,querylength,dwellserp,dwellcontent,timepercent,querynumber,clicks_num_segment,clicks_num_session,dwelltosave_cont,dwelltosave_serp,sources_num,refo_current_genera,refo_current_new,refo_current_repeat,refo_current_specia,refo_current_spelli,refo_current_stemid,refo_current_wordsu,state
10,2,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,-0.13281111015587932,25.101291493274317,0.771160181951858,-1,9,0,0.9419243312723262,1.661359101839503,3,0,0,0,1,0,0,0,0
11,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,-1.5946935531956998,0.9881326598211637,0.19371237683702208,0,6,0,2.9712508388645857,2.520393465961821,3,0,0,0,1,0,0,0,0
12,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,9,1,-6.211435522406587,65.07591981659763,0.03199535149396171,5,22,-1,-0.6217590219156826,1.6308496301233844,5,0,0,0,1,0,0,0,0
13,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,-0.383527761002858,26.22115457494187,0.9669782249874668,-1,3,-10,16.693504883324536,16.573782162365344,2,0,0,0,1,0,0,1,0
14,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,-0.5325162501011746,19.344691102671135,0.4406072725073563,0,3,-2,7.096545312501837,2.5675109924910644,1,0,0,0,0,0,0,0,0
15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0.027666372146298412,1.839396225398744,0.3776703812960249,0,3,41,6.120103176257244,11.16733235443709,4,0,0,0,0,0,0,0,1
16,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,6,-1.9992119207490227,8.93910954322163,0.7012122676411678,15,19,-1,3.1296022744163254,18.944640891057485,2,0,0,0,0,0,0,0,1
17,2,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,-2.443903518671643,6.9200685578221,0.974900753986802,1,2,20,7.743802351939806,48.759536567314626,4,0,0,0,1,0,0,0,2
18,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,2,-2.3598419019904595,31.983669725862278,0.2554269893426271,12,3,10,4.032206975557455,8.74356930821148,7,0,0,0,0,0,0,0,1
19,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5,-0.016600478206349578,17.640512238845346,0.8766617800604484,-1,2,-3,0.1704213724756618,1.8072721989297325,3,0,0,0,1,0,0,1,0
20,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,6,8.43868116231653,3.4566881996997747,1.0725719359166301,0,3,1,-22.087044667682832,30.69836145841366,1,0,0,0,0,0,0,0,1
21,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,-1.3201612904985756,42.400273798091064,0.0026618098092655307,1,3,10,-2.551122760418537,2.931748018437388,5,0,0,0,0,0,0,1,1
22,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,19,0,-0.5040400262004722,1.4181628383227398,0.24805280853104264,0,0,-2,-0.8719575162910718,2.386687191565337,4,0,0,0,1,0,0,0,2
23,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,-0.5652877251055228,19.734841515691254,0.9702716523222402,0,8,0,14.260323895799747,-0.6903481951951116,4,0,0,0,0,0,0,0,1
24,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0.8215110852478942,15.438097479151772,0.4579431191160701,0,2,3,5.06607182577291,1.8295673992885078,2,0,0,0,0,0,0,0,0
25,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,23,-0.4619083877274235,4.616564407823469,0.39757910614318925,0,13,21,-3.852002854746429,-0.35647005306937257,6,0,0,0,0,0,0,0,0
26,2,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,-2.3746271557419654,23.92254351491816,0.8559243183953071,1,16,39,36.43482880988288,53.641624004202,2,0,0,0,0,0,0,0,0
27,3,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,-1.7388549804310176,64.40013837619881,0.7653512241692672,0,1,9,4.717090751762475,2.181665766571704,4,0,0,0,1,0,0,0,1
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,-1.3446337133485073,-0.22759052398383917,0.7648864608979921,0,2,7,5.013122021314945,2.049505824561196,5,0,0,0,1,0,0,0,0
29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,10,2,0.1144281437479486,22.16751710059483,0.8796013097012246,2,3,-2,2.0015846975177816,11.013156714099855,8,0,0,1,0,0,0,0,2
30,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,-0.03776100506703714,26.859648810433967,0.6901309015612069,13,3,66,12.187772468730484,20.883360059636182,9,0,0,0,0,0,0,0,3
31,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,-1.157250510236123,44.52871681169974,0.8338629302801606,0,4,-3,0.12411284668811717,1.8043871613905074,5,0,0,0,0,0,0,0,1
32,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,-2.165432919909087,17.902875250773988,0.5022966136819224,1,2,29,15.456212837798287,26.156801192169404,0,0,1,0,1,0,0,0,1
33,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,13,-2.850774926089616,17.992532446669696,0.8022362813492222,8,3,2,7.399759004853327,2.9220600286020555,4,0,0,0,0,0,0,0,2
34,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,26,1.231913461257406,8.512363861948037,0.8373664557921814,2,8,16,61.621739349229514,2.670049921255748,2,0,0,1,0,0,0,0,2
35,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,-0.8085825390373996,99.80480532342007,0.8698999868998455,0,3,-8,-0.782274111766379,26.51609049911941,3,0,1,0,0,0,0,1,2
36,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,-1.1302791570292894,20.09091125545874,0.6939771476689229,0,5,-2,4.301092203778554,8.538726360045636,6,0,0,0,1,0,0,0,2
37,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,-0.6451478058020801,35.1682789848225,0.4504336076003005,5,2,19,-1.9819234083272104,25.743557612539764,2,0,0,0,0,0,0,0,2
38,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,-2.0352707159337773,33.2160361232857,-0.05435992858975011,1,5,10,8.473662323674576,37.6692827863012,4,0,0,0,1,0,0,1,1
39,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-2.108029860753288,10.12768250372175,0.5349713551706047,2,10,2,7.371097012155424,2.8951886350364098,6,0,0,0,1,0,0,0,0
40,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1.9653810875692166,24.76525831405092,0.22628716595914217,9,3,-5,8.423998555610353,30.206362401354284,2,0,0,0,0,0,0,1,0
41,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,22.032002959553196,24.127812828353722,0.8089715987206981,3,2,-7,-15.249791332301932,15.278991326841465,5,0,0,0,0,0,0,0,0
42,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,1,1.6487898402051901,33.194610999367036,0.8673045244739683,4,7,12,10.862961766017257,1.6683591634763735,1,0,0,0,0,0,0,0,2
43,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,8,3,-0.7813016231794158,27.1829850031383,0.021714379993146987,9,9,34,-4.7575924275884525,27.304102116440063,6,0,0,0,0,0,0,0,0
44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-1.2805840490584997,60.92612718333295,0.5295602266309544,0,11,11,-3.1954952470540534,1.9989269002397732,5,0,0,0,1,0,0,0,1
45,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,1,-0.8653997124836622,23.507850473010663,0.3180458725160223,-4,7,-6,25.12456120560178,0.7813595955908605,7,0,0,0,1,0,0,0,0
46,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,5.523607779954437,29.100854923942748,1.1431901042514538,-1,2,14,16.174516977433868,1.9684444311886025,4,0,0,0,0,0,0,0,0
47,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,2.1011137107044187,22.96973389436333,1.0312160974899482,2,5,35,6.662395406429956,55.31171277610616,1,0,0,0,0,0,0,0,0
48,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,5,0,23.938747029985983,14.361790075582192,0.37718555650396124,7,7,36,-1.3535564467670511,1.8930634074120285,9,0,0,0,1,0,0,0,0
49,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,13,-1.698831479777453,18.988524654934498,0.6525811009757292,8,4,28,-2.33951271510788,0.4150016721265901,0,0,1,0,0,0,0,0,0
50,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,10,0,-2.0800645527938384,40.28213870973427,0.48603410675877495,1,9,5,-1.4795300743592534,15.346879368499536,6,0,0,0,0,0,0,0,2
51,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,9,-1.723474040846881,32.27227888142273,0.6712395929615002,2,2,-5,2.404717184931825,22.08163955438422,1,0,0,0,0,0,0,0,0
52,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,-1.0081241587831746,31.739017105978263,1.0584874429889006,2,6,-4,-2.535283871959967,19.972279995243507,2,0,0,1,1,0,0,0,1
53,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,1.8856901353803992,31.331932508845757,0.5148683120656273,1,1,15,4.080107608207307,1.848286819779986,5,0,0,0,0,0,0,0,1
54,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,5,37.9594651587822,15.987335196073323,0.9325408851359566,2,5,24,1.4927476210834245,-0.03225036977460333,5,0,0,0,0,0,0,1,1
55,3,0,1,0,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,-1,-1.732303244529652,38.0917265488746,-0.0006392628901553399,-1,6,14,4.495167699752347,1.9566923050551812,6,0,0,0,0,0,0,0,0
56,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0.883238120364504,1.1770966981567708,0.7018714655420327,9,10,-6,2.942095595468813,1.270243602977173,2,0,0,0,0,0,0,1,0
57,2,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0.3678283037729021,40.36249997269928,0.7611745274512348,0,0,0,20.20249141346433,33.44462066506308,0,0,0,0,0,0,0,0,2
58,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,-0.2532574525331092,30.301189806733447,1.0438956693996981,0,4,-3,6.533601104800769,0.13041733100206976,3,0,0,0,1,0,0,1,0
59,3,0,1,0,12,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,-4.008881386838561,1.1976866035973437,-0.0016162037871008395,1,2,26,4.234166349506237,1.7957188002742996,4,0,0,1,1,0,0,0,1
60,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,-1.6404964996379041,-1.3200189315941193,0.1535616685708048,4,17,-3,9.857623086209589,1.4917457556110105,5,0,0,0,0,0,0,0,1
61,2,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,-1.1984747785492567,43.75357815215018,0.7771806821489108,4,7,0,5.799337685740871,44.865198286071916,2,0,0,0,0,0,0,0,1
62,3,0,1,0,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,7,1,-2.5265015304599636,6.426546105614246,1.0461181230154861,4,6,41,-0.8423591240871868,9.370486411885032,4,0,0,0,1,0,0,0,1
63,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,-0.8000204644831015,49.897933405909384,0.7195042137673013,3,3,8,-0.35858081792547125,2.1701302685593267,5,0,0,0,0,0,0,0,1
64,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2.3581205376022596,3.1949221664892873,0.8237227147461983,0,7,13,-0.9319057956702412,9.204368087835217,7,0,0,0,1,0,0,0,0
65,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0.7815752877655475,25.690018643701592,0.8508782896914531,3,6,18,4.714494702597989,2.217143020703228,3,0,0,0,0,0,0,0,0
66,3,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,3,1.4222250798130318,3.3372840816277964,0.9013979963184788,6,2,17,1.806002913051021,2.223070661893997,5,0,0,0,0,0,0,0,0
67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,-0.4403955515359339,-3.276120945217883,0.5710609858100463,0,2,32,0.08771823182588001,1.8470342804339874,10,0,0,0,0,0,0,0,2
68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,2,-1.5892002305885407,37.457822139988274,-0.15330794556961894,11,1,-4,27.6710805693117,1.5855496762325174,4,0,0,0,1,0,0,0,0
69,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,-1.7103899672259453,28.224442925643512,0.6593745934490419,5,14,-2,18.080831573782046,1.415423481637165,2,0,0,0,0,0,0,0,2
70,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,6,-1.4392204601687952,29.23008966638505,0.8913681215441455,3,5,4,5.9187159475323,2.307381679349403,2,0,0,0,0,0,0,0,1
71,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,-0.04526678800326259,3.6917304229623475,0.9990805090434491,2,2,-2,114.61697342662144,2.635730039774656,8,0,0,0,1,0,0,0,0
72,0,0,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-1.1807755541761873,13.97190710861125,0.7670407285392782,1,4,-9,-8.64010808310978,29.104219835537624,3,0,0,0,0,0,0,0,0
73,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,-1.32582076682393,39.648418698534144,1.0216330360912838,2,4,47,13.540469950990964,0.8532397794803865,3,0,0,0,0,0,0,0,0
74,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,6,4,0.06538947070977252,37.23383206599608,1.1280224669125838,0,14,3,-0.9936581719756408,15.308935544852957,2,0,0,0,0,0,0,0,0
75,2,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,4,13.20386446385374,39.02066730204638,0.26778874665783864,3,10,11,-2.2137690804197363,2.755564832806815,1,0,0,0,0,0,0,0,1
76,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-2.0389594014407915,4.371755010855797,0.5502231653268057,0,3,24,-1.0886722580895776,2.228483937714257,2,0,0,0,1,0,0,0,0
77,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,19,-1.4172491903840965,5.311486005798081,0.9860484280721833,1,4,8,-2.5025806763674545,12.34199872343276,3,0,0,0,0,0,0,0,0
78,3,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,-0.5467496698717028,51.845526598835036,0.5426545674746386,0,1,27,-2.57808435167925,2.2884945793879474,1,0,0,0,0,0,0,0,0
79,3,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,-4.55416049168305,21.146311679906344,0.7829472903624398,1,1,5,5.621594710723922,11.970559334769373,13,0,0,0,1,0,0,0,2
80,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.6153106238154817,57.34053183811086,0.5151385189317882,0,9,9,9.697431122550572,1.680416207343197,2,0,0,0,1,0,0,0,0
81,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.9965606995838643,7.069416649402402,0.41125119186509496,0,5,19,5.516768535068444,0.058769242349956424,1,0,0,0,1,0,0,0,0
82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,1,1.452423323303229,60.85550770279535,0.8386757538867605,0,4,0,11.865087949438497,14.961527270106856,2,0,0,0,1,0,0,0,0
83,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,-1.1460889782890566,38.49911930965807,0.6910908162912204,0,7,0,16.151395394380888,13.051942175792146,3,0,0,0,0,0,0,0,1
84,2,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,-1.4089216115586884,40.66481955456119,0.46718229381110415,1,10,56,15.053473558028768,29.61756666031853,3,0,0,0,0,0,0,0,2
85,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,-0.5191959165661241,14.012284319893148,1.151900146180597,3,11,6,-1.6211577872049108,1.782112187747049,0,0,0,0,1,0,0,0,1
86,2,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,0.4791110757676322,35.492564858362584,0.8838937949481537,0,12,-6,12.945038283261635,49.99571261970832,4,0,1,0,0,0,0,0,2
87,3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,9,-2.0864772683923376,7.804203353464391,0.0868394422780373,1,1,-4,6.008336107742995,2.6102605598476245,4,0,0,0,0,0,0,0,1
88,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,-2.0178460584329283,10.910960089202073,0.16468919544543875,0,16,14,3.8044867065279657,43.21336114293992,2,0,0,0,0,0,0,0,0
89,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,-1.927075927540706,53.43098556087172,0.8819911542912446,0,12,16,4.013646551145217,1.2677744267048634,6,0,0,0,1,0,0,1,0
90,3,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1.8940943859866062,38.84775614419688,0.8665772998577411,4,4,1,3.9305184187568756,1.5932713259383178,4,0,0,0,0,0,0,0,2
91,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0.6040470610062065,19.993775116663073,0.2472710683887276,-2,4,-3,6.698834030739946,11.626670722067708,6,0,0,0,0,0,0,0,2
92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,-2.923487798162969,2.5358298628569713,0.9512610843299716,-1,8,5,2.663284188288449,1.2263693291154172,8,0,0,0,0,0,0,0,1
93,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,9,7,-0.707974071220424,29.968937949937178,0.2059993143146855,0,3,37,11.054091392736858,28.931787356143754,4,0,0,0,1,0,0,1,0
94,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,-0.6593751597625769,64.86298411974316,0.5213142816393428,3,2,10,8.19204022973352,29.211308838642704,5,0,0,0,1,0,0,0,0
95,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,-0.11227275540531445,6.660321699158711,0.8700800059508705,3,0,21,1.8845196545789422,2.041730068391923,7,0,0,0,1,0,0,0,0
96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3.6665448974809838,9.453413885635744,-0.12633292024637274,4,3,2,9.31034129305971,51.38052273442938,0,0,0,0,1,0,0,0,1
97,2,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2,-0.9071761217525843,24.674541866571115,0.692108188992175,0,1,1,63.65698636976265,0.992265022636966,4,0,0,0,0,0,0,0,1
98,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,9.791607124885063,23.101481128953118,0.9396024600746169,5,8,12,1.8458543316101936,2.3342316325968127,2,0,0,0,1,0,0,0,0
99,2,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,-2.6252625760146153,13.99947122467916,0.24935419731074976,0,3,3,16.25674634550055,1.7628594899062409,4,0,0,0,0,0,0,0,0
100,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,13.221073691317489,42.70387803880749,0.20748583192444284,-1,7,33,9.314104582228609,2.701696640040559,6,0,0,0,0,0,0,0,0
101,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,-1.3100216992226525,12.227568459448966,0.5594466345994275,3,8,23,-4.0634094708329584,1.53937653504142,5,0,0,0,0,0,0,0,2
102,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,6,7.153015899511331,4.813561718747567,0.6780813963300449,4,3,-3,59.27036505329566,1.336457171437095,6,0,1,0,1,0,0,0,2
